Time,Speed_kmh,SOC_%,Temp_C,Torque_Nm,RPM,Throttle_%,Brake_%,Mode,G_Force,Distance_km,CAN_ID
01:14:55,0,100,30,0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:14:56,0,100,30,0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:14:57,0,100,30,0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:14:58,0,100,30,0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:14:59,0,100,30,0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:15:00,0,100,30,0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:15:01,0,100,30,0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:15:02,0,100.0,30.0,0.0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:15:03,0,100.0,30.01,0.0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:15:04,0,100.0,30.02,0.0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:15:05,0,100.0,30.03,0.0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:15:06,0,100.0,30.04,0.0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:15:07,0,100.0,30.05,0.0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:15:08,0,100.0,30.06,0.0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:15:09,0,100.0,30.07,0.0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:15:10,0,100.0,30.08,0.0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:15:11,0,100.0,30.09,0.0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:15:12,0,100.0,30.1,0.0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:15:13,0,100.0,30.11,0.0,0,0.0,0.0,ECO,0.0,0.0,0x120
01:15:14,0.39,99.99,30.16,13.2,34,11.0,0.0,ECO,0.022,0.0,0x120
01:15:15,1.67,99.96,30.28,22.6,150,18.8,0.0,ECO,0.037,0.0,0x120
01:15:16,3.35,99.92,30.43,31.2,301,26.0,0.0,ECO,0.051,0.001,0x120
01:15:17,5.78,99.86,30.65,65.5,520,36.4,0.0,NORMAL,0.072,0.003,0x120
01:15:18,8.31,99.8,30.88,64.3,747,35.7,0.0,NORMAL,0.071,0.005,0x120
01:15:19,9.74,99.75,31.1,64.3,876,35.7,17.9,NORMAL,0.153,0.007,0x120
01:15:20,9.2,99.69,31.33,64.3,827,35.7,25.3,NORMAL,0.218,0.01,0x120
01:15:21,8.66,99.63,31.55,64.3,779,35.7,25.3,NORMAL,0.218,0.013,0x120
01:15:22,10.14,99.57,31.77,64.3,913,35.7,0.0,NORMAL,0.071,0.015,0x120
01:15:23,12.64,99.52,32.0,64.3,1138,35.7,0.0,NORMAL,0.071,0.018,0x120
01:15:24,15.14,99.46,32.22,64.3,1363,35.7,0.0,NORMAL,0.071,0.023,0x120
01:15:25,17.64,99.4,32.45,64.3,1588,35.7,0.0,NORMAL,0.071,0.027,0x120
01:15:26,20.14,99.34,32.67,64.3,1813,35.7,0.0,NORMAL,0.071,0.033,0x120
01:15:27,22.64,99.29,32.9,64.3,2038,35.7,0.0,NORMAL,0.071,0.039,0x120
01:15:28,25.14,99.23,33.12,64.3,2263,35.7,0.0,NORMAL,0.071,0.046,0x120
01:15:29,27.64,99.17,33.34,64.3,2488,35.7,0.0,NORMAL,0.071,0.053,0x120
01:15:30,29.1,99.14,33.48,7.0,2618,5.8,0.0,ECO,0.012,0.061,0x120
01:15:31,29.12,99.14,33.49,0.0,2620,0.0,0.0,ECO,0.0,0.069,0x120
01:15:32,29.12,99.14,33.5,0.0,2620,0.0,0.0,ECO,0.0,0.077,0x120
01:15:33,29.12,99.14,33.51,0.0,2620,0.0,0.0,ECO,0.0,0.085,0x120
01:15:34,26.84,99.14,33.41,0,2415,0.0,0.0,ECO,0.063,0.085,0x120
01:15:35,24.73,99.15,33.31,0,2226,0.0,0.0,ECO,0.058,0.085,0x120
01:15:36,22.8,99.31,33.23,0,2051,0.0,0.0,ECO,0.054,0.085,0x120
01:15:37,21.01,99.39,33.14,0,1890,0.0,0.0,ECO,0.05,0.085,0x120
01:15:38,19.36,99.48,33.05,0,1742,0.0,0.0,ECO,0.046,0.085,0x120
01:15:39,17.84,99.56,32.96,0,1605,0.0,0.0,ECO,0.042,0.085,0x120
01:15:40,16.44,99.57,32.86,0,1479,0.0,0.0,ECO,0.039,0.085,0x120
